,ID energetske izkaznice,Datum izdelave,Velja do,Šifra KO,Številka stavbe,Številka dela stavbe,Tip izkaznice,Potrebna toplota za ogrevanje,Dovedena energija za delovanje stavbe,Celotna energija,Dovedena električna energija,Primarna energija,Emisije CO2,Kondicionirana površina stavbe,Energijski razred,EPBD 
1,2025-808-65-119802,14.02.2025,14022035,2631,2293,0.0,merjena,,,472179.28,162452.0,584378.01,87937.0,2566.0,A1,DRUGO
9,2025-808-65-119803,14.02.2025,14022035,2630,138,0.0,merjena,,,28353.0,15353.0,23029.5,6448.0,270.0,A1,DRUGO
19,2025-983-194-120786,19.02.2025,19022035,1077,1611,0.0,merjena,,,178467.08,40821.0,212642.19,55238.0,1363.0,A1,PISARNE
20,2025-983-194-120789,19.02.2025,19022035,1074,2016,0.0,merjena,,,173281.0,45481.0,208801.5,44662.0,840.0,A1,PISARNE
114,2024-866-17-119385,31.12.2024,31122034,2636,7755,0.0,merjena,,,2146741.0,1299391.0,3050641.5,766055.0,12241.0,A1,PISARNE
136,2025-798-80-116128,07.01.2025,7012035,1203,762,0.0,merjena,,,109411.35,73311.0,149676.89,41260.0,1216.0,A1,IZOBRAZ
138,2025-798-80-118660,07.01.2025,7012035,1200,324,0.0,merjena,,,344011.5,159379.0,442164.25,107558.0,1600.0,A1,BOLNICA
140,2025-798-80-119024,07.01.2025,7012035,1221,179,0.0,merjena,,,46305.84,39792.0,66853.22,18602.0,802.0,A1,IZOBRAZ
141,2025-798-80-119026,07.01.2025,7012035,1225,283,0.0,merjena,,,39734.75,33113.0,56953.43,15828.0,733.0,A1,IZOBRAZ
153,2025-923-214-121034,05.03.2025,5032035,396,57,0.0,merjena,,,19346.98,8452.0,24662.48,6709.0,415.0,A1,DRUGO
154,2025-923-214-121037,05.03.2025,5032035,399,500,0.0,merjena,,,28606.56,5331.0,33599.62,8989.0,551.0,A1,DRUGO
157,2025-972-42-118968,07.02.2025,7022035,1738,3436,0.0,merjena,,,326381.0,176880.0,373799.39,78251.0,2230.0,A1,PISARNE
158,2025-972-42-118969,07.02.2025,7022035,1738,1912,0.0,merjena,,,197607.0,62831.0,244218.28,55298.0,1297.0,A1,PISARNE
184,2025-935-36-120260,04.02.2025,4022035,147,479,0.0,merjena,,,16443.0,16443.0,24664.5,6906.0,44.0,A1,DRUGO
185,2025-935-36-120264,04.02.2025,4022035,147,480,0.0,merjena,,,21809.0,21809.0,32713.5,9160.0,40.0,A1,DRUGO
203,2025-959-167-120637,13.02.2025,13022035,1731,1753,0.0,merjena,,,52029.0,7933.0,60405.1,12151.0,417.0,A1,PISARNE
222,2025-860-2-121222,06.03.2025,6032035,105,2750,0.0,merjena,,,181320.19,74644.0,229309.81,62287.0,1417.0,A1,DRUGO
239,2025-886-61-118651,07.02.2025,7022035,635,926,0.0,merjena,,,23818.0,13758.0,31703.0,8696.0,184.0,A1,IZOBRAZ
258,2025-983-194-121808,21.03.2025,21032035,1077,405,0.0,merjena,,,204431.0,54663.0,246739.3,52912.0,1890.0,A1,SPORT
293,2025-913-244-120176,07.02.2025,7022035,1992,1006,0.0,merjena,,,192203.36,20261.0,289524.1,58373.0,1391.0,A1,IZOBRAZ
294,2025-913-244-120177,07.02.2025,7022035,1992,258,0.0,merjena,,,56619.7,10394.0,66439.27,17771.0,545.0,A1,DRUGO
295,2025-913-244-120183,07.02.2025,7022035,1992,245,0.0,merjena,,,260269.14,-1232.9,200052.84,14806.0,3332.0,A1,IZOBRAZ
297,2025-913-410-120256,07.02.2025,7022035,2147,183,0.0,merjena,,,19770.0,19770.0,29655.0,8303.0,92.0,A1,IZOBRAZ
298,2025-913-410-120268,07.02.2025,7022035,2147,81,0.0,merjena,,,227733.0,55453.0,272687.5,57746.0,816.0,A1,IZOBRAZ
306,2025-958-166-121623,19.03.2025,19032035,1200,330,0.0,merjena,,,121497.0,21540.0,142262.7,29038.0,1513.0,A1,DRUGO
360,2025-1002-232-121234,13.03.2025,13032035,850,437,0.0,merjena,,,115947.0,17508.0,85521.2,18128.0,1487.0,A1,PRODAJA
378,2025-886-61-119247,07.02.2025,7022035,657,1599,0.0,merjena,,,1020150.0,270638.0,1230420.2,263570.0,3817.0,A1,BOLNICA
380,2025-886-61-119246,07.02.2025,7022035,657,1518,0.0,merjena,,,269402.0,71470.0,324930.2,69604.0,1008.0,A1,BOLNICA
381,2025-886-61-119245,07.02.2025,7022035,657,1538,0.0,merjena,,,1187458.0,315023.0,1432213.0,306797.0,4443.0,A1,BOLNICA
384,2025-886-61-119244,07.02.2025,7022035,657,1641,0.0,merjena,,,1440826.0,382240.0,1737804.6,372258.0,5391.0,A1,BOLNICA
385,2025-886-61-118883,07.02.2025,7022035,708,708,758.0,merjena,,,98719.0,20670.0,116858.9,24291.0,2009.0,A1,IZOBRAZ
396,2025-876-87-121106,02.03.2025,2032035,1587,248,0.0,merjena,,,42942.5,29000.0,58836.75,16223.0,287.0,A1,HOTELI
438,2025-967-400-121414,12.03.2025,12032035,753,821,0.0,merjena,,,356428.0,122993.0,441268.0,98344.0,1612.0,A1,PRODAJA
441,2025-972-42-119942,31.01.2025,31012035,1722,7643,572.0,merjena,,,132458.5,69825.0,173634.35,43106.0,1504.0,A1,PISARNE
448,2025-972-42-119967,31.01.2025,31012035,2636,3532,0.0,merjena,,,383917.0,218521.0,511826.22,127256.0,1852.0,A1,PISARNE
456,2025-983-194-121752,21.03.2025,21032035,1075,2917,0.0,merjena,,,163483.0,46986.0,175908.79,60741.0,1265.0,A1,IZOBRAZ
457,2025-983-194-121766,21.03.2025,21032035,1077,1356,0.0,merjena,,,784140.0,323857.0,992096.8,228077.0,4600.0,A1,IZOBRAZ
533,2025-860-2-121364,11.03.2025,11032035,105,3953,0.0,merjena,,,278290.0,102293.0,347036.2,81682.0,2467.0,A1,PISARNE
535,2025-1033-412-118267,11.03.2025,11032035,657,712,0.0,merjena,,,458978.0,91358.0,614943.0,133952.0,3605.0,A1,BLOKI
537,2025-984-44-121749,21.03.2025,21032035,1736,1278,0.0,merjena,,,275096.0,132146.0,345517.54,99394.0,2938.0,A1,PISARNE
592,2025-866-17-121788,21.03.2025,21032035,2304,2393,6.0,merjena,,,57896.0,23328.0,79930.4,18785.0,282.0,A1,PISARNE
651,2025-918-50-121094,03.03.2025,3032035,1974,1056,0.0,merjena,,,108358.0,80253.0,151295.0,39327.0,469.0,A1,HOTELI
683,2025-958-166-119703,16.01.2025,16012035,1738,1596,0.0,merjena,,,445164.0,302621.0,639237.4,164162.0,3435.0,A1,PRODAJA
763,2025-876-87-121104,02.03.2025,2032035,1587,247,0.0,merjena,,,336115.0,238875.0,465276.5,128527.0,827.0,A1,HOTELI
778,2025-923-214-120537,14.02.2025,14022035,332,277,2.0,merjena,,,71447.0,55041.0,82561.5,23117.0,961.0,A1,IZOBRAZ
793,2025-926-87-120873,28.02.2025,28022035,1316,437,0.0,merjena,,,902780.0,150539.0,376256.7,93316.0,7820.0,A1,IZOBRAZ
865,2025-913-410-120282,17.02.2025,17022035,2141,112,0.0,merjena,,,46707.71,1670.0,71066.48,13762.0,352.0,A1,IZOBRAZ
